CÓDIGO ATUAL,NOME ATUAL,NOME NOVO,PROPOSTA DO DÓRIA
1012-10,TERM. JD. BRITANIA – JD. MONTE BELO,,EXTINTA
1015-10,TERM. JD. BRITÂNIA – CHÁC. MARIA TRINDADE,TERM. JD. BRITÂNIA – CHÁC. MARIA TRINDADE,MANTIDA
1016-10,CEM. DO HORTO – SHOP. CENTER NORTE,CEM. DO HORTO – METRÔ PARADA INGLESA,CORTADA
1017-10,PERUS – CONEXÃO VL. IÓRIO,,EXTINTA
1018-10,VL. ROSA – METRÔ SANTANA,VL. ROSA – METRÔ TUCURUVI,CORTADA
1019-10,SOL NASCENTE – TERM. PIRITUBA,SOL NASCENTE – TERM. PIRITUBA,MANTIDA
1020-10,PERUS – CONEXÃO VL. IÓRIO,,EXTINTA
1021-10,COHAB BRASILÂNDIA – TERM. PIRITUBA,COHAB BRASILÂNDIA – TERM. PIRITUBA,MANTIDA
1024-10,JD. CAROMBÉ – CONEXÃO PETRÔNIO PORTELA,JD. CAROMBÉ – CONEXÃO PETRÔNIO PORTELA,MANTIDA
1025-10,JD. CAROMBÉ – CONEXÃO PETRÔNIO PORTELA,JD. CAROMBÉ – CONEXÃO PETRÔNIO PORTELA,MANTIDA
1026-10,VL. IARA – CONEXÃO PETRÔNIO PORTELA,VL. IARA – CONEXÃO PETRÔNIO PORTELA,MANTIDA
1034-10,VL. IARA – CONEXÃO VL. IÓRIO,,EXTINTA
1036-10,COHAB BRASILÂNDIA – CONEXÃO VL. IÓRIO,,EXTINTA
106A-10,METRÔ SANTANA – ITAIM BIBI,METRÔ SANTANA – PQ. DO POVO,CORTADA
107T-10,METRÔ TUCURUVI – TERM. PINHEIROS,METRÔ TUCURUVI – TERM. AMARAL GURGEL,CORTADA
1156-10,VL. SABRINA – PÇA. DO CORREIO,VL. SABRINA – PÇA. DO CORREIO,MANTIDA
1177-10,TERM. A. E. CARVALHO – LUZ,TERM. A. E. CARVALHO – TERM. PRINC. ISABEL,CORTADA
1177-31,TERM. A. E. CARVALHO – LUZ,,EXTINTA
1178-10,SÃO MIGUEL – PÇA. DO CORREIO,TERM. SÃO MIGUEL – PÇA. DO CORREIO,MANTIDA
1178-31,SÃO MIGUEL – PÇA. DO CORREIO,,EXTINTA
1178-32,ABEL TAVARES – PÇA. DO CORREIO,,EXTINTA
1178-33,PÇA. DO CORREIO – SÃO MIGUEL,,EXTINTA
1178-42,CONJ. HAB. VL. SÍLVIA – PÇA. DO CORREIO,,EXTINTA
118C-10,JD. PERY ALTO – METRÔ STA. CECÍLIA,JD. PERY ALTO – MANDAQUI,CORTADA
118Y-10,LAUZANE PAULISTA – LAPA,LAUZANE PAULISTA – LAPA,MANTIDA
119C-10,VL. SABRINA – TERM. PRINC. ISABEL,VL. SABRINA – TERM. PRINC. ISABEL,MANTIDA
119L-10,VL. SULINA – TERM. LAPA,,EXTINTA
1206-10,PQ. VL. MARIA – CORREIO,PQ. VL. MARIA – LGO. DA CONCÓRDIA,CORTADA
121G-10,PQ. NOVO MUNDO – METRÔ TUCURUVI,PQ. NOVO MUNDO – METRÔ TUCURUVI,MANTIDA
128Y-10,JD. PERY ALTO – LAPA,JD. PERY ALTO – LAPA,MANTIDA
